% time	cellId	IMSI	frame	sframe	RNTI	mcs	size	ccId
0.665	0	0	67	6	59	28	9422	0
0.666	0	0	67	7	66	28	4587	0
0.666	0	0	67	7	26	28	4587	0
0.667	0	0	67	8	14	28	9422	0
0.668	0	0	67	9	66	28	4587	0
0.668	0	0	67	9	9	28	4587	0
0.669	0	0	67	10	15	28	4587	0
0.669	0	0	67	10	19	28	4587	0
0.67	0	0	68	1	4	28	4587	0
0.67	0	0	68	1	9	28	4587	0
0.671	0	0	68	2	10	28	4587	0
0.671	0	0	68	2	19	28	4587	0
0.672	0	0	68	3	29	28	9422	0
0.673	0	0	68	4	64	28	9422	0
0.675	0	0	68	6	22	28	9422	0
0.677	0	0	68	8	46	28	4587	0
0.677	0	0	68	8	22	28	4587	0
0.679	0	0	68	10	8	28	9422	0
0.68	0	0	69	1	8	28	9422	0
0.681	0	0	69	2	8	28	9422	0
0.682	0	0	69	3	49	28	9422	0
0.683	0	0	69	4	68	28	4587	0
0.683	0	0	69	4	45	28	4587	0
0.684	0	0	69	5	52	28	4587	0
0.684	0	0	69	5	28	28	4587	0
0.685	0	0	69	6	33	28	3062	0
0.685	0	0	69	6	45	28	3062	0
0.685	0	0	69	6	16	28	3062	0
0.686	0	0	69	7	52	28	4587	0
0.686	0	0	69	7	1	28	4587	0
0.687	0	0	69	8	7	28	4587	0
0.687	0	0	69	8	33	28	4587	0
0.688	0	0	69	9	65	28	9422	0
0.691	0	0	70	2	61	28	9422	0
0.692	0	0	70	3	11	28	9422	0
0.693	0	0	70	4	42	28	4587	0
0.693	0	0	70	4	61	28	4587	0
0.695	0	0	70	6	12	28	9422	0
0.696	0	0	70	7	32	28	9422	0
0.697	0	0	70	8	44	28	4587	0
0.697	0	0	70	8	15	28	4587	0
0.699	0	0	70	10	58	28	4587	0
0.699	0	0	70	10	15	28	4587	0
0.7	0	0	71	1	59	28	9422	0
0.701	0	0	71	2	14	28	9422	0
0.702	0	0	71	3	26	28	9422	0
0.703	0	0	71	4	63	28	9422	0
0.705	0	0	71	6	4	28	4587	0
0.705	0	0	71	6	46	28	4587	0
0.706	0	0	71	7	10	28	9422	0
0.707	0	0	71	8	29	28	4587	0
0.707	0	0	71	8	46	28	4587	0
0.708	0	0	71	9	64	28	9422	0
0.71	0	0	72	1	9	28	9422	0
0.711	0	0	72	2	19	28	9422	0
0.712	0	0	72	3	28	28	4587	0
0.712	0	0	72	3	1	28	4587	0
0.714	0	0	72	5	22	28	4587	0
0.714	0	0	72	5	28	28	4587	0
0.715	0	0	72	6	49	28	9422	0
0.716	0	0	72	7	68	28	9422	0
0.718	0	0	72	9	16	28	9422	0
0.719	0	0	72	10	7	28	9422	0
0.72	0	0	73	1	65	28	9422	0
0.721	0	0	73	2	45	28	9422	0
0.722	0	0	73	3	52	28	9422	0
0.723	0	0	73	4	33	28	9422	0
0.724	0	0	73	5	42	28	9422	0
0.725	0	0	73	6	44	28	4587	0
0.725	0	0	73	6	8	28	4587	0
0.726	0	0	73	7	32	28	9422	0
0.727	0	0	73	8	44	28	9422	0
0.728	0	0	73	9	61	28	9422	0
0.729	0	0	73	10	12	28	9422	0
0.73	0	0	74	1	58	28	9422	0
0.731	0	0	74	2	59	28	4587	0
0.731	0	0	74	2	63	28	4587	0
0.732	0	0	74	3	27	28	9422	0
0.733	0	0	74	4	63	28	4587	0
0.733	0	0	74	4	26	28	4587	0
0.735	0	0	74	6	14	28	9422	0
0.736	0	0	74	7	15	28	9422	0
0.737	0	0	74	8	4	28	9422	0
0.738	0	0	74	9	9	28	4587	0
0.738	0	0	74	9	10	28	4587	0
0.739	0	0	74	10	19	28	4587	0
0.739	0	0	74	10	29	28	4587	0
0.74	0	0	75	1	64	28	4587	0
0.74	0	0	75	1	9	28	4587	0
0.741	0	0	75	2	19	28	4587	0
0.741	0	0	75	2	66	28	4587	0
0.742	0	0	75	3	22	28	9422	0
0.743	0	0	75	4	11	28	9422	0
0.744	0	0	75	5	22	28	9422	0
0.745	0	0	75	6	1	28	9422	0
0.749	0	0	75	10	45	28	4587	0
0.749	0	0	75	10	49	28	4587	0
0.75	0	0	76	1	52	28	4587	0
0.75	0	0	76	1	68	28	4587	0
0.751	0	0	76	2	28	28	3062	0
0.751	0	0	76	2	33	28	3062	0
0.751	0	0	76	2	45	28	3062	0
0.752	0	0	76	3	16	28	4587	0
0.752	0	0	76	3	52	28	4587	0
0.753	0	0	76	4	7	28	4587	0
0.753	0	0	76	4	33	28	4587	0
0.754	0	0	76	5	65	28	9422	0
0.756	0	0	76	7	61	28	9422	0
0.758	0	0	76	9	42	28	4587	0
0.758	0	0	76	9	61	28	4587	0
0.759	0	0	76	10	8	28	9422	0
0.76	0	0	77	1	32	28	9422	0
0.761	0	0	77	2	47	28	9422	0
0.762	0	0	77	3	24	28	9422	0
0.763	0	0	77	4	12	28	9422	0
0.764	0	0	77	5	15	28	4587	0
0.764	0	0	77	5	44	28	4587	0
0.766	0	0	77	7	15	28	4587	0
0.766	0	0	77	7	27	28	4587	0
0.767	0	0	77	8	58	28	9422	0
0.768	0	0	77	9	59	28	9422	0
0.769	0	0	77	10	66	28	4587	0
0.769	0	0	77	10	14	28	4587	0
0.77	0	0	78	1	11	28	9422	0
0.771	0	0	78	2	26	28	4587	0
0.771	0	0	78	2	66	28	4587	0
0.772	0	0	78	3	63	28	9422	0
0.774	0	0	78	5	4	28	9422	0
0.775	0	0	78	6	10	28	9422	0
0.777	0	0	78	8	29	28	9422	0
0.778	0	0	78	9	64	28	9422	0
0.779	0	0	78	10	28	28	9422	0
0.78	0	0	79	1	9	28	9422	0
0.781	0	0	79	2	28	28	9422	0
0.782	0	0	79	3	19	28	9422	0
0.783	0	0	79	4	1	28	9422	0
0.784	0	0	79	5	46	28	9422	0
0.785	0	0	79	6	40	28	9422	0
0.786	0	0	79	7	22	28	9422	0
0.787	0	0	79	8	49	28	9422	0
0.788	0	0	79	9	68	28	9422	0
0.79	0	0	80	1	16	28	9422	0
0.791	0	0	80	2	7	28	9422	0
0.792	0	0	80	3	40	28	4587	0
0.792	0	0	80	3	44	28	4587	0
0.793	0	0	80	4	65	28	9422	0
0.794	0	0	80	5	44	28	4587	0
0.794	0	0	80	5	45	28	4587	0
0.795	0	0	80	6	24	28	9422	0
0.796	0	0	80	7	47	28	9422	0
0.797	0	0	80	8	12	28	9422	0
0.798	0	0	80	9	52	28	9422	0
0.8	0	0	81	1	63	28	4587	0
0.8	0	0	81	1	33	28	4587	0
0.801	0	0	81	2	42	28	9422	0
0.802	0	0	81	3	63	28	4587	0
0.802	0	0	81	3	8	28	4587	0
0.803	0	0	81	4	32	28	9422	0
0.804	0	0	81	5	11	28	9422	0
0.806	0	0	81	7	14	28	9422	0
0.808	0	0	81	9	58	28	4587	0
0.808	0	0	81	9	9	28	4587	0
0.809	0	0	81	10	59	28	9422	0
0.81	0	0	82	1	9	28	3062	0
0.81	0	0	82	1	19	28	3062	0
0.81	0	0	82	1	26	28	3062	0
0.812	0	0	82	3	19	28	4587	0
0.812	0	0	82	3	46	28	4587	0
0.814	0	0	82	5	22	28	3062	0
0.814	0	0	82	5	27	28	3062	0
0.814	0	0	82	5	46	28	3062	0
0.815	0	0	82	6	4	28	9422	0
0.816	0	0	82	7	10	28	4587	0
0.816	0	0	82	7	22	28	4587	0
0.817	0	0	82	8	29	28	9422	0
0.818	0	0	82	9	64	28	9422	0
0.82	0	0	83	1	40	28	9422	0
0.822	0	0	83	3	45	28	9422	0
0.824	0	0	83	5	45	28	9422	0
0.825	0	0	83	6	49	28	9422	0
0.826	0	0	83	7	52	28	4587	0
0.826	0	0	83	7	68	28	4587	0
0.828	0	0	83	9	16	28	3062	0
0.828	0	0	83	9	33	28	3062	0
0.828	0	0	83	9	52	28	3062	0
0.829	0	0	83	10	24	28	4587	0
0.829	0	0	83	10	42	28	4587	0
0.83	0	0	84	1	7	28	4587	0
0.83	0	0	84	1	33	28	4587	0
0.831	0	0	84	2	12	28	9422	0
0.832	0	0	84	3	65	28	9422	0
0.836	0	0	84	7	42	28	9422	0
0.837	0	0	84	8	1	28	9422	0
0.838	0	0	84	9	8	28	9422	0
0.839	0	0	84	10	32	28	9422	0
0.84	0	0	85	1	11	28	9422	0
0.842	0	0	85	3	14	28	4587	0
0.842	0	0	85	3	27	28	4587	0
0.843	0	0	85	4	61	28	9422	0
0.844	0	0	85	5	27	28	4587	0
0.844	0	0	85	5	47	28	4587	0
0.845	0	0	85	6	58	28	9422	0
0.846	0	0	85	7	59	28	9422	0
0.847	0	0	85	8	26	28	9422	0
0.849	0	0	85	10	15	28	9422	0
0.851	0	0	86	2	4	28	9422	0
0.852	0	0	86	3	10	28	9422	0
0.853	0	0	86	4	69	28	9422	0
0.854	0	0	86	5	29	28	9422	0
0.855	0	0	86	6	64	28	9422	0
0.856	0	0	86	7	66	28	9422	0
0.857	0	0	86	8	40	28	4587	0
0.857	0	0	86	8	42	28	4587	0
0.862	0	0	87	3	49	28	9422	0
0.863	0	0	87	4	24	28	9422	0
